ng-star-inserted src,marquee-text,event-id,marquee-text 2,marquee-text 3,event-source-type,event-time,Unnamed: 7,Unnamed: 8,full-date
https://home.fibaro.com/newProxyLite?user=743421&hc=YH-00052887&temp=ZTN0ustk_A1NqXRWuq_TiLua3j7Ru_E4BBWzHzMJNhg&req=%2Fassets%2Ficon%2Ffibaro%2Fblind%2Fblind100.png,AcciÃ³n: Abrir,52,Persiana 2 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 18:16:18,,,2023-03-18 2023-08-25 18:16:18
https://home.fibaro.com/newProxyLite?user=743421&hc=YH-00052887&temp=ZTN0ustk_A1NqXRWuq_TiLua3j7Ru_E4BBWzHzMJNhg&req=%2Fassets%2Ficon%2Ffibaro%2Fblind%2Fblind100.png,AcciÃ³n: Abrir,47,Persiana salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 18:16:18,,,2023-03-18 2023-08-25 18:16:18
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,47,Persiana salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 12:06:23,,,2023-03-18 2023-08-25 12:06:23
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,52,Persiana 2 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 12:05:56,,,2023-03-18 2023-08-25 12:05:56
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,5.6W,47,Persiana salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 12:05:53,,,2023-03-18 2023-08-25 12:05:53
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,195.1W,52,Persiana 2 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 12:05:49,,,2023-03-18 2023-08-25 12:05:49
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,192.4W,47,Persiana salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 12:05:49,,,2023-03-18 2023-08-25 12:05:49
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,192.4W,47,Persiana salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 12:05:49,,,2023-03-18 2023-08-25 12:05:49
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,42,Luz 1 Dormitorio,Default Section/Dormitorio,Sistema,2023-08-25 08:14:09,,,2023-03-18 2023-08-25 08:14:09
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff0.png,Apagado,42,Luz 1 Dormitorio,Default Section/Dormitorio,Sistema,2023-08-25 08:14:09,,,2023-03-18 2023-08-25 08:14:09
