intervalo,fecha_completa,49.0,23.0,25.0,37.0,40.0,50.0,51.0,35.0,24.0,21.0,43.0,46.0,34.0,20.0,26.0,29.0,27.0,31.0,65.0,42.0,28.0,30.0,36.0,48.0,22.0,41.0,4.0,3.0,2.0,1.0,47.0,53.0
2023-12-14 00:00:00,2023-12-14,56,482,107,59,77,21,31,17,15,10,16,27,14,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 00:00:00,2023-12-13,90,632,127,47,95,19,43,9,14,9,8,23,9,0,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-12 00:00:00,2023-12-12,42,535,108,52,184,22,27,81,15,10,16,109,8,0,20,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-11 00:00:00,2023-12-11,42,598,112,62,154,19,20,26,18,8,19,37,5,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-10 00:00:00,2023-12-10,17,403,72,47,92,16,17,12,14,0,4,31,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-09 00:00:00,2023-12-09,63,522,105,55,106,21,24,22,19,11,12,34,4,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-08 00:00:00,2023-12-08,82,641,65,64,99,16,25,16,16,8,17,37,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-07 00:00:00,2023-12-07,30,402,92,40,55,20,24,8,14,7,13,22,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-06 00:00:00,2023-12-06,51,376,103,37,65,14,26,22,15,9,18,36,13,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-05 00:00:00,2023-12-05,22,584,131,64,142,20,20,50,14,4,8,68,14,2,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-04 00:00:00,2023-12-04,67,707,200,96,144,20,37,2,17,4,6,22,10,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-03 00:00:00,2023-12-03,82,597,112,60,147,20,22,41,19,4,8,26,2,0,4,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-02 00:00:00,2023-12-02,73,575,115,54,107,19,31,5,17,4,0,18,12,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-01 00:00:00,2023-12-01,29,560,110,64,114,20,31,28,18,13,17,46,12,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-30 00:00:00,2023-11-30,34,529,152,42,97,16,31,30,13,4,4,29,24,1,2,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-29 00:00:00,2023-11-29,59,678,117,89,164,18,25,155,17,4,12,39,8,0,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-28 00:00:00,2023-11-28,49,612,125,31,55,18,13,1,13,9,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-27 00:00:00,2023-11-27,63,680,139,68,135,18,27,26,19,10,8,51,17,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-26 00:00:00,2023-11-26,15,381,68,35,72,21,18,98,16,4,4,31,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:00:00,2023-11-25,43,423,50,56,101,19,28,16,17,6,17,42,8,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-24 00:00:00,2023-11-24,88,536,147,33,100,24,33,40,18,4,17,67,0,24,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-23 00:00:00,2023-11-23,59,505,145,42,96,19,32,26,19,4,16,50,9,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-22 00:00:00,2023-11-22,64,591,159,35,101,20,33,27,15,4,1,50,6,7,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-21 00:00:00,2023-11-21,49,440,132,29,60,13,25,1,15,9,0,2,18,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-20 00:00:00,2023-11-20,69,432,108,34,73,19,34,26,18,12,4,31,4,4,3,1,4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0
2023-11-19 00:00:00,2023-11-19,72,638,204,56,156,19,40,89,15,5,17,89,22,4,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-18 00:00:00,2023-11-18,36,677,250,57,120,19,30,30,19,13,17,46,6,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
